1:49:46  UPDATE dataFR SET time=0.823, owner='zzzzz' WHERE key='-1946738493'
1:50:44  UPDATE dataFR SET time=1.494, owner='zzzzz' WHERE key='-1513646866'
1:50:50  UPDATE dataFR SET time=0.942, owner='zzzzz' WHERE key='-1235587233'
1:50:57  UPDATE dataFR SET time=1.602, owner='zzzzz' WHERE key='779458729'
1:51:22  UPDATE dataFR SET time=1.09, owner='zzzzz' WHERE key='167603959'
1:51:38  UPDATE dataFR SET time=3.469, owner='zzzzz' WHERE key='-1533709977'
1:51:45  UPDATE dataFR SET time=1.885, owner='zzzzz' WHERE key='-235224781'
1:51:52  UPDATE dataFR SET time=2.297, owner='zzzzz' WHERE key='-318901808'
1:52:13  UPDATE dataFR SET time=1.86, owner='zzzzz' WHERE key='119927239'
1:52:44  UPDATE dataFR SET time=3.947, owner='zzzzz' WHERE key='-1685560391'
1:53:17  UPDATE dataFR SET time=4.536, owner='zzzzz' WHERE key='-1705221633'
1:53:30  UPDATE dataFR SET time=1.136, owner='zzzzz' WHERE key='1911940955'
1:54:10  UPDATE dataFR SET time=1.806, owner='zzzzz' WHERE key='-236566688'
1:54:45  UPDATE dataFR SET time=5.937, owner='zzzzz' WHERE key='-1339786103'
1:54:58  UPDATE dataFR SET time=1.863, owner='zzzzz' WHERE key='-560117109'
1:55:13  UPDATE dataFR SET time=2.548, owner='zzzzz' WHERE key='-1603969640'
1:55:19  UPDATE dataFR SET time=1.194, owner='zzzzz' WHERE key='-226138725'
1:55:44  UPDATE dataFR SET time=1.227, owner='zzzzz' WHERE key='-1364416330'
1:56:0  UPDATE dataFR SET time=2.65, owner='zzzzz' WHERE key='-1295290865'
1:56:34  UPDATE dataFR SET time=2.491, owner='zzzzz' WHERE key='19966740'
1:56:42  UPDATE dataFR SET time=3.037, owner='zzzzz' WHERE key='-714944214'
1:58:23  UPDATE dataFR SET time=2.013, owner='zzzzz' WHERE key='1466030837'
1:59:5  UPDATE dataFR SET time=2.406, owner='zzzzz' WHERE key='-766206157'
1:59:26  UPDATE dataFR SET time=1.475, owner='zzzzz' WHERE key='842843678'
1:59:33  UPDATE dataFR SET time=2.203, owner='zzzzz' WHERE key='-1136794763'
1:59:39  UPDATE dataFR SET time=1.381, owner='zzzzz' WHERE key='-1603882357'
1:59:48  UPDATE dataFR SET time=3.325, owner='zzzzz' WHERE key='-226253121'
2:0:9  UPDATE dataFR SET time=3.102, owner='zzzzz' WHERE key='-1219159402'
2:0:25  UPDATE dataFR SET time=3.651, owner='zzzzz' WHERE key='-742130997'
2:2:8  UPDATE dataFR SET time=0.559, owner='zzzzz' WHERE key='591525248'
2:2:45  UPDATE dataFR SET time=3.872, owner='zzzzz' WHERE key='1948046291'
2:5:12  UPDATE dataFR SET time=1.567, owner='zzzzz' WHERE key='1549714561'
2:5:35  UPDATE dataFR SET time=3.317, owner='zzzzz' WHERE key='1959055760'
2:5:52  UPDATE dataFR SET time=1.713, owner='zzzzz' WHERE key='1831503769'
2:6:15  UPDATE dataFR SET time=1.115, owner='zzzzz' WHERE key='-694413284'
2:6:39  UPDATE dataFR SET time=1.401, owner='zzzzz' WHERE key='8994089'
2:6:54  UPDATE dataFR SET time=2.19, owner='zzzzz' WHERE key='-2024900787'
2:7:31  UPDATE dataFR SET time=1.896, owner='zzzzz' WHERE key='-1745083874'
2:8:23  UPDATE dataFR SET time=1.913, owner='zzzzz' WHERE key='53941716'
2:9:2  UPDATE dataFR SET time=2.671, owner='zzzzz' WHERE key='-1705221633'
2:9:42  UPDATE dataFR SET time=2.713, owner='zzzzz' WHERE key='468820022'
2:9:49  UPDATE dataFR SET time=1.581, owner='zzzzz' WHERE key='-1407212733'
2:10:36  UPDATE dataFR SET time=1.464, owner='zzzzz' WHERE key='-794196537'
2:10:54  UPDATE dataFR SET time=1.971, owner='zzzzz' WHERE key='1466030837'
2:11:13  UPDATE dataFR SET time=2.124, owner='zzzzz' WHERE key='1713935075'
2:13:2  UPDATE dataFR SET time=2.776, owner='zzzzz' WHERE key='1843711741'
2:13:52  UPDATE dataFR SET time=1.806, owner='zzzzz' WHERE key='1771313249'
2:13:59  UPDATE dataFR SET time=1.709, owner='zzzzz' WHERE key='1160604507'
2:14:20  UPDATE dataFR SET time=0.953, owner='zzzzz' WHERE key='1755225289'
2:14:26  UPDATE dataFR SET time=1.028, owner='zzzzz' WHERE key='-236566688'
2:14:33  UPDATE dataFR SET time=1.55, owner='zzzzz' WHERE key='-956966909'
2:15:5  UPDATE dataFR SET time=2.335, owner='zzzzz' WHERE key='-2057178950'
2:15:24  UPDATE dataFR SET time=3.819, owner='zzzzz' WHERE key='-2083607616'
10:1:10  UPDATE dataFR SET time=13.911, owner='fkfkkfkf' WHERE key='1696288632'
10:1:10  UPDATE dataFR SET time=13.911, owner='fkfkkfkf' WHERE key='1696288632'
16:13:55  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-147861014','Ghana','ghana',2.903,'emmaa')
16:14:10  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1392316662','Afghanistan',''+NULL+'',2.625,'zzzzz')
16:14:26  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1335757672','Bhutan','bhutan',3.073,'zzzzz')
16:14:41  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-843955059','Finland','finland',3.09,'zzzzz')
16:14:55  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('19782223','Ireland','ireland',1.738,'zzzzz')
16:15:10  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-447976906','Republic of South Sudan',''+NULL+'',5.189,'zzzzz')
16:15:25  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1756600764','Republic of Niger','niger',2.272,'zzzzz')
16:15:41  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('170590849','Mongolia',''+NULL+'',2.11,'emmaa')
16:15:56  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1379457971','Kosovo','kosovo',1.791,'zzzzz')
16:16:11  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1725790038','Scotland','ecosse',1.304,'zzzzz')
16:16:25  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1157023186','Eswatini',''+NULL+'',1.595,'zzzzz')
16:16:53  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1406198925','Brazil','brazil',5.998,'emmaa')
16:17:1  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1896315355','Djibouti',''+NULL+'',1.419,'zzzzz')
16:17:8  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-373236881','Australia',''+NULL+'',1.747,'zzzzz')
