10:17:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1822669530','Andalusia',''+NULL+'',NULL,'None')
10:18:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1865772517','Kabardino-Balkarian Republic',''+NULL+'',NULL,'None')
10:18:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1193194582','Nebraska',''+NULL+'',NULL,'None')
10:18:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1619899675','Vaud',''+NULL+'',NULL,'None')
10:19:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1874337510','Republic of Karelia',''+NULL+'',NULL,'None')
10:19:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-949579569','Hawaii',''+NULL+'',NULL,'None')
10:19:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-703606971','Victoria',''+NULL+'',NULL,'None')
10:20:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1463118333','Texas',''+NULL+'',NULL,'None')
10:20:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('2123318814','Paris',''+NULL+'',NULL,'None')
10:20:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1825574730','Ontario',''+NULL+'',NULL,'None')
10:21:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1917647773','Auvergne-Rhône-Alpes',''+NULL+'',NULL,'None')
10:21:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1916236871','Appenzell Ausserrhoden',''+NULL+'',NULL,'None')
10:21:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1665742748','New South Wales',''+NULL+'',NULL,'None')
10:22:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1535394092','New York',''+NULL+'',NULL,'None')
10:22:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1532281789','Mecklenburg-Western Pomerania',''+NULL+'',NULL,'None')
10:23:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('801834291','Republic of Bashkortostan',''+NULL+'',NULL,'None')
10:23:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1115557923','French Guiana',''+NULL+'',NULL,'None')
10:23:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1116017555','Northwest Territories',''+NULL+'',NULL,'None')
10:24:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-2097050717','Utah',''+NULL+'',NULL,'None')
10:24:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-684608887','Community of Madrid',''+NULL+'',NULL,'None')
10:24:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('973832827','Poitou',''+NULL+'',NULL,'None')
10:25:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-216018099','Friesland',''+NULL+'',NULL,'None')
10:25:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('991254820','New Brunswick',''+NULL+'',NULL,'None')
10:25:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1539999862','Indiana',''+NULL+'',NULL,'None')
10:26:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('282889301','Republic of Crimea',''+NULL+'',NULL,'None')
10:26:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1165923281','Schaffhouse',''+NULL+'',NULL,'None')
10:26:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('228273593','Mari El Republic',''+NULL+'',NULL,'None')
